date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn,ratio_ri
2018-02-28,22:59:14.567965,5500,2800,3467523.28120988,0.05,1E-05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.84223219771301
2018-02-28,22:59:27.408077,5000,2800,3480000,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:59:40.676952,5250,2800,3480000,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,22:59:51.280805,5500,2800,3406880.56608229,0.05,0.01,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.79252505416581
2018-02-28,23:00:04.205463,5000,2800,3480000,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,23:00:18.791147,5250,2800,3480000,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,23:00:30.731930,5500,2800,3315532.20702169,0.05,0.025,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.71764935001778
2018-02-28,23:00:47.386033,5000,2800,3480000,0.05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.85245901639344
2018-02-28,23:01:00.921755,5250,2800,3418935.909621,0.05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.8024064832959
2018-02-28,23:01:12.599401,5500,2800,3207287.21859708,0.05,0.05,0.16,0.8,0.05,0.01,2000000000000000,100,800,2.62892394966974
2018-02-28,23:01:21.430115,5000,2800,3031627.8757548,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.48494088176623
2018-02-28,23:01:30.171694,5250,2800,2875105.90243529,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.356644182324
2018-02-28,23:01:38.550357,5500,2800,2712126.53790059,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.22305453926278
2018-02-28,23:01:49.765459,5000,2800,2964596.28010833,1E-05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.42999695090846
2018-02-28,23:02:00.210102,5250,2800,2804096.20027978,1E-05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.29843950842605
2018-02-28,23:02:10.043476,5500,2800,2645294.52293741,1E-05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.16827419912902
2018-02-28,23:02:21.510601,5000,2800,2970239.15918545,1E-05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.43462226162742
2018-02-28,23:02:32.827673,5250,2800,2797473.88340234,1E-05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.29301137983799
